location,bhk,washroom,total_sqft,furnishing,age,price,rent
Indrapuri,2,2,765,Semi Furnished,1-5 years,33.74,38423.37
Ayodhya nagar,3,3,1058,Unfurnished,10+ years,47.9,50455.54
Kolar hills,5,4,2377,Fully Furnished,New,138.41,122651.98
Nizamuddin colony,4,3,1721,Semi Furnished,1-5 years,88.03,97624.44
Tajul masjid,1,1,701,Unfurnished,New,40.65,36013.81
Ratnagiri,5,4,2666,Fully Furnished,5-10 years,170.83,150256.44
Bittan Market,2,2,1147,Unfurnished,5-10 years,75.9,76189.67
ibrahimpura,3,3,1349,Unfurnished,New,60.69,49808.83
Minal,4,3,1801,Unfurnished,5-10 years,77.19,91458.5
ibrahimpura,4,3,1624,Fully Furnished,5-10 years,101.14,105106.77
Nizamuddin colony,2,2,943,Unfurnished,5-10 years,58.34,67734.29
Misrod,1,1,439,Semi Furnished,New,25.88,24812.17
sultaniya road,2,2,886,Semi Furnished,5-10 years,42.88,39743.04
Vikas Nagar,4,3,2104,Unfurnished,New,103.65,83381.22
Gandhi nagar,3,3,1023,Fully Furnished,1-5 years,43.49,50841.82
Hoshangabad Road,5,4,2850,Semi Furnished,New,134.86,112760.02
Narela,3,3,1106,Fully Furnished,1-5 years,55.49,60044.92
Roshanpura,3,3,1399,Fully Furnished,New,72.41,84987.67
Vikas Nagar,5,4,2588,Semi Furnished,5-10 years,164.33,190868.99
Bawadiya Kalan,3,3,1547,Fully Furnished,10+ years,67.31,74395.23
Ayodhya nagar,5,4,2683,Unfurnished,5-10 years,168.69,198770.77
chuna bhatti,1,1,611,Semi Furnished,New,34.09,31584.41
Misrod,4,3,1771,Unfurnished,10+ years,94.09,107135.09
jahangirabad,3,3,1003,Semi Furnished,10+ years,57.2,57165.11
MP Nagar,1,1,522,Semi Furnished,New,35.67,35903.25
Prabhat petrol pump,1,1,665,Unfurnished,1-5 years,45.24,41111.1
MP Nagar,4,3,2170,Fully Furnished,5-10 years,96.25,95789.39
Narela,3,3,1137,Fully Furnished,New,77.18,85616.27
Kamla Nagar,1,1,554,Semi Furnished,New,37.68,34660.1
Avadhpuri,4,3,1589,Semi Furnished,New,107.76,94718.58
Nizamuddin colony,4,3,2049,Unfurnished,1-5 years,104.88,124243.14
kohefiza,1,1,403,Unfurnished,1-5 years,22.38,19535.92
New market,3,3,1000,Semi Furnished,10+ years,43.95,35194.01
