location,floors,rooms,washroom,total_sqft,furnishing,age,price,rent
Indrapuri,3,3,1,1647,Furnished,10,6634055,15650
Ayodhya nagar,3,4,2,1494,Semi-Furnished,27,9356464,32609
Vijay nagar,5,10,4,3957,Furnished,18,28553741,94927
Shivaji Nagar,4,9,3,2730,Furnished,20,16442168,55784
char Imli,2,2,2,1165,Unfurnished,20,7782278,23778
Tajul masjid,5,15,3,4670,Furnished,27,25605740,83892
Ashoka garden,2,2,2,1192,Semi-Furnished,26,6108901,19150
Ratnagiri,5,10,1,4254,Furnished,24,19907610,56892
Piplani,1,1,2,494,Semi-Furnished,7,3405917,11501
Ashoka garden,5,6,4,4531,Furnished,4,23473690,73395
Bairagarh,2,2,4,887,Unfurnished,9,4075572,12440
Arera Colony,1,1,3,421,Furnished,24,3137019,11590
Barkheda,2,2,3,913,Unfurnished,11,3934109,11185
Lalghati,3,3,4,1308,Semi-Furnished,23,6331350,17824
Hoshangabad Road,3,5,3,1689,Unfurnished,17,8683785,23815
Lalghati,5,16,3,4084,Furnished,29,19606720,57035
Avadhpuri,5,7,2,4050,Semi-Furnished,2,17729977,51046
Avadhpuri,5,9,2,3255,Unfurnished,16,14235016,42915
sultaniya road,5,8,1,4743,Furnished,5,24730742,75748
Saket nagar,2,2,1,911,Unfurnished,27,6226796,19538
sultaniya road,5,17,4,4250,Furnished,25,22128068,67983
Gandhi nagar,4,5,1,2617,Semi-Furnished,25,16282201,58512
Ashoka garden,5,10,1,4224,Furnished,23,21982032,68794
Avadhpuri,2,3,3,1144,Furnished,16,5106728,16197
Hoshangabad Road,4,10,4,3202,Furnished,22,16305036,47867
Govindpura,5,5,1,4207,Unfurnished,2,22318268,67011
Kolar Road,2,2,2,1121,Unfurnished,3,5593313,16363
Indrapuri,2,3,2,876,Unfurnished,1,3586972,9420
ibrahimpura,3,6,3,1687,Unfurnished,3,7301432,19968
Vikas Nagar,1,1,4,672,Semi-Furnished,24,4651524,16568
Ratnagiri,3,5,3,1343,Semi-Furnished,2,6292067,18120
Kamla Nagar,2,3,1,879,Semi-Furnished,17,4543851,14441
Habibganj,1,1,1,642,Furnished,11,3587220,9685
ibrahimpura,1,2,3,620,Unfurnished,6,2671941,5691
Piplani,5,8,3,4103,Furnished,11,28814053,91915
New market,4,8,3,2313,Unfurnished,30,16131316,49595
Bawadiya Kalan,1,1,4,631,Semi-Furnished,17,2932350,8936
jahangirabad,5,10,3,3355,Semi-Furnished,11,15477287,39816
Minal,3,3,1,1523,Furnished,22,7231320,19491
Shivaji Nagar,2,3,2,986,Semi-Furnished,19,5828548,20956
eidgah hills,1,1,2,422,Furnished,15,2607909,9947
VIP road,1,1,3,497,Semi-Furnished,20,3170190,11054
Ayodhya nagar,1,1,3,431,Semi-Furnished,5,2732105,8290
char Imli,5,9,1,3820,Unfurnished,8,25160113,80073
Avadhpuri,3,4,1,1982,Semi-Furnished,13,8704212,26203
Govindpura,3,4,4,1259,Unfurnished,24,6762730,20594
Karond,5,10,2,3115,Unfurnished,30,15286525,43831
Arera Colony,4,8,2,2298,Furnished,26,17260468,55187
Gandhi nagar,4,8,3,3297,Semi-Furnished,29,20345332,76051
Govindpura,4,5,4,2186,Semi-Furnished,4,11598738,35750
Piplani,1,2,4,792,Semi-Furnished,21,5542523,16127
jahangirabad,3,5,1,1936,Furnished,8,8965927,24337
Habibganj,4,5,2,2486,Unfurnished,30,13738439,43920
Prabhat petrol pump,4,9,3,2410,Semi-Furnished,15,11887860,34472
Narela,2,2,4,948,Furnished,11,4140532,12409
Sonagiri,1,1,4,525,Semi-Furnished,29,2325756,6694
Anand nagar,3,4,2,1796,Semi-Furnished,29,10336054,34941
Shyamla Hills,5,14,1,4988,Unfurnished,12,37323302,124868
MP Nagar,5,5,3,4802,Semi-Furnished,24,38488061,118531
Nizamuddin colony,1,1,3,548,Semi-Furnished,16,3505364,9599
Tajul masjid,5,5,4,3683,Furnished,10,20220855,66800
Prabhat petrol pump,3,4,2,1226,Furnished,16,6042748,17956
Arera Colony,1,1,3,538,Unfurnished,19,4117654,14424
Kamla Nagar,5,7,3,3720,Furnished,22,19287679,61167
char Imli,1,1,3,431,Unfurnished,20,2934541,9431
Indrapuri,4,11,3,3159,Furnished,2,12638205,33240
Kamla Nagar,3,3,4,1929,Furnished,24,10051125,32143
Narela,4,8,1,2196,Furnished,20,9396121,22395
Kolar Road,4,4,2,2418,Unfurnished,17,12006046,35059
